032,112025,1327539,1,032307202510110003,0.00,8573.00,0,3566,273,0.00,0
032,112025,1327608,1,032307202510110012,0.00,25.00,0,3,1,0.00,0
032,112025,1327618,2,032307202510110008,0.00,5.00,0,15,1,0.00,0
032,112025,1327718,2,032307202510110010,0.00,3019.00,0,516,97,0.00,0
032,112025,1327729,5,032307202510110022,0.00,53.00,0,15,5,0.00,0
032,112025,1327945,1,032307202510110013,0.00,3.00,0,21,1,0.00,0
032,112025,1328009,3,032307202510110015,0.00,15.00,0,77,1,0.00,0
032,112025,1328057,1,032307202510110014,0.00,3.00,0,21,1,0.00,0
032,112025,1328092,1,032307202510110011,0.00,87.00,0,16,4,0.00,0
032,112025,1328276,6,032307202510120002,0.00,10.00,0,2,1,0.00,0
032,112025,1328312,3,032307202510120001,0.00,50.00,0,134,4,0.00,0
032,112025,1328334,6,032307202510120004,0.00,43.00,0,4,3,0.00,0
032,112025,1328434,1,032307202510120007,0.00,40.00,0,37,3,0.00,0
032,112025,1328914,5,032307202510130007,0.00,15.00,0,4,1,0.00,0
032,112025,1328931,5,032307202510130009,0.00,10.00,0,12,1,0.00,0
032,112025,1328962,4,032307202510130008,0.00,10.00,0,18,1,0.00,0
032,112025,1329051,3,032307202510140002,0.00,5.00,0,3,1,0.00,0
032,112025,1329102,4,032307202510140003,0.00,5.00,0,7,1,0.00,0
032,112025,1329243,1,032307202510140005,0.00,1176.00,0,402,82,0.00,0
032,112025,1329253,3,032307202510140006,0.00,1925.00,0,1819,143,0.00,0
032,112025,1329357,1,032307202510140007,0.00,575.00,0,524,7,0.00,0
032,112025,1329411,1,032307202510140008,0.00,50.00,0,125,1,0.00,0
032,112025,1329495,6,032307202510150001,0.00,3.00,0,11,1,0.00,0
032,112025,1329497,6,032307202510150006,0.00,5.00,0,5,1,0.00,0
032,112025,1329497,6,032307202510150007,0.00,15.00,0,3,2,0.00,0
032,112025,1329516,1,032307202510150002,0.00,40.00,0,12,4,0.00,0
032,112025,1329523,4,032307202510150003,0.00,25.00,0,47,1,0.00,0
032,112025,1329607,3,032307202510150010,0.00,15.00,0,35,1,0.00,0
032,112025,1329648,6,032307202510150005,0.00,10.00,0,24,1,0.00,0
032,112025,1329745,1,032307202510150009,0.00,50.00,0,102,1,0.00,0
032,112025,1329789,1,032307202510160001,0.00,5.00,0,2,1,0.00,0
032,112025,1330204,1,032307202510160003,0.00,10.00,0,24,1,0.00,0
032,112025,1330270,4,032307202510170001,0.00,573.00,0,296,17,0.00,0
032,112025,1330550,5,032307202510170004,0.00,13.00,0,6,2,0.00,0
032,112025,1330554,4,032307202510170002,0.00,10.00,0,8,2,0.00,0
032,112025,1330615,4,032307202510170003,0.00,10.00,0,30,1,0.00,0
032,112025,1330622,4,032307202510170005,0.00,10.00,0,30,1,0.00,0
032,112025,1330658,6,032307202510180003,0.00,5.00,0,4,1,0.00,0
032,112025,1330760,4,032307202510180004,0.00,10.00,0,53,1,0.00,0
032,112025,1330839,6,032307202510180005,0.00,67.00,0,73,7,0.00,0
032,112025,1330970,4,032307202510180006,0.00,25.00,0,18,1,0.00,0
032,112025,1331015,2,032307202510190010,0.00,10386.00,0,4615,294,0.00,0
032,112025,1331023,5,032307202510190002,0.00,1107.00,0,22,10,0.00,0
032,112025,1331041,2,032307202510190008,0.00,630.00,0,12,7,0.00,0
032,112025,1331041,2,032307202510190013,0.00,630.00,0,12,7,0.00,0
032,112025,1331093,5,032307202510190005,0.00,5.00,0,2,1,0.00,0
032,112025,1331093,5,032307202510190006,0.00,432.00,0,309,18,0.00,0
032,112025,1331101,5,032307202510190003,0.00,15.00,0,4,1,0.00,0
032,112025,1331283,1,032307202510200003,0.00,3.00,0,2,1,0.00,0
032,112025,1331311,4,032307202510200005,0.00,10.00,0,5,1,0.00,0
032,112025,1331326,1,032307202510200001,0.00,67.00,0,37,16,0.00,0
032,112025,1331414,4,032307202510200006,0.00,15.00,0,2,1,0.00,0
032,112025,1331494,5,032307202510200010,0.00,51.00,0,26,5,0.00,0
032,112025,1331510,1,032307202510200012,0.00,25.00,0,9,1,0.00,0
032,112025,1331533,1,032307202510200014,0.00,25.00,0,8,1,0.00,0
032,112025,1331571,4,032307202510200018,0.00,153.00,0,5,2,0.00,0
032,112025,1331755,1,032307202510210005,0.00,3.00,0,6,1,0.00,0
032,112025,1331871,1,032307202510210008,0.00,10.00,0,28,1,0.00,0
032,112025,1331926,3,032307202510210011,0.00,30.00,0,51,2,0.00,0
032,112025,1331926,3,032307202510210013,0.00,15.00,0,32,1,0.00,0
032,112025,1331984,3,032307202510220008,0.00,4633.00,0,2364,151,0.00,0
032,112025,1332000,4,032307202510220002,0.00,12782.00,0,6443,387,0.00,0
032,112025,1332155,4,032307202510220006,0.00,105.00,0,181,6,0.00,0
032,112025,1332283,1,032307202510220009,0.00,40.00,0,37,3,0.00,0
032,112025,1332380,3,032307202510220011,0.00,1892.00,0,1587,101,0.00,0
032,112025,1332465,2,032307202510220015,0.00,455.00,0,60,8,0.00,0
032,112025,1332494,1,032307202510230001,0.00,8528.00,0,3573,272,0.00,0
032,112025,1332592,1,032307202510230004,0.00,10.00,0,14,1,0.00,0
032,112025,1332622,5,032307202510230007,0.00,5.00,0,3,1,0.00,0
032,112025,1332628,5,032307202510230005,0.00,5.00,0,8,1,0.00,0
032,112025,1332721,3,032307202510230011,0.00,2.00,0,2,1,0.00,0
032,112025,1332868,4,032307202510240005,0.00,77.00,0,26,7,0.00,0
032,112025,1333219,1,032307202510240008,0.00,23.00,0,11,5,0.00,0
032,112025,1333252,2,032307202510240010,0.00,10.00,0,37,1,0.00,0
032,112025,1333644,3,032307202510250002,0.00,15.00,0,30,1,0.00,0
032,112025,1333863,3,032307202510260003,0.00,10.00,0,41,1,0.00,0
032,112025,1333899,1,032307202510260005,0.00,18.00,0,55,3,0.00,0
032,112025,1333904,5,032307202510260004,0.00,15.00,0,4,1,0.00,0
