032,112025,1330658,6,032307202510180003,1,5.00,0.00,0.00
032,112025,1330760,4,032307202510180004,1,10.00,0.00,0.00
032,112025,1330839,6,032307202510180005,1,67.00,0.00,0.00
032,112025,1330970,4,032307202510180006,1,25.00,0.00,0.00
032,112025,1331015,2,032307202510190010,1,10386.00,0.00,0.00
032,112025,1331023,5,032307202510190002,1,1107.00,0.00,0.00
032,112025,1331041,2,032307202510190008,1,630.00,0.00,0.00
032,112025,1331041,2,032307202510190013,1,630.00,0.00,0.00
032,112025,1331093,5,032307202510190005,2,5.00,0.00,0.00
032,112025,1331093,5,032307202510190006,1,432.00,0.00,0.00
032,112025,1331101,5,032307202510190003,1,15.00,0.00,0.00
032,112025,1331283,1,032307202510200003,1,3.00,0.00,0.00
032,112025,1331311,4,032307202510200005,1,10.00,0.00,0.00
032,112025,1331326,1,032307202510200001,1,67.00,0.00,0.00
032,112025,1331414,4,032307202510200006,1,15.00,0.00,0.00
032,112025,1331494,5,032307202510200010,1,51.00,0.00,0.00
032,112025,1331510,1,032307202510200012,1,25.00,0.00,0.00
032,112025,1331533,1,032307202510200014,1,25.00,0.00,0.00
032,112025,1331571,4,032307202510200018,1,153.00,0.00,0.00
032,112025,1331755,1,032307202510210005,1,3.00,0.00,0.00
032,112025,1331871,1,032307202510210008,1,10.00,0.00,0.00
032,112025,1331926,3,032307202510210011,1,30.00,0.00,0.00
032,112025,1331926,3,032307202510210013,2,15.00,0.00,0.00
032,112025,1331984,3,032307202510220008,1,2741.00,0.00,0.00
032,112025,1331984,3,032307202510220008,2,1477.00,0.00,0.00
032,112025,1331984,3,032307202510220008,3,415.00,0.00,0.00
032,112025,1332000,4,032307202510220002,1,353.00,0.00,0.00
032,112025,1332000,4,032307202510220002,2,2988.00,0.00,0.00
032,112025,1332000,4,032307202510220002,3,3332.00,0.00,0.00
032,112025,1332000,4,032307202510220002,4,6109.00,0.00,0.00
032,112025,1332155,4,032307202510220006,1,105.00,0.00,0.00
032,112025,1332283,1,032307202510220009,1,40.00,0.00,0.00
032,112025,1332380,3,032307202510220011,1,1892.00,0.00,0.00
032,112025,1332465,2,032307202510220015,1,455.00,0.00,0.00
032,112025,1332494,1,032307202510230001,1,8528.00,0.00,0.00
032,112025,1332592,1,032307202510230004,1,10.00,0.00,0.00
032,112025,1332622,5,032307202510230007,1,5.00,0.00,0.00
032,112025,1332628,5,032307202510230005,1,5.00,0.00,0.00
032,112025,1332721,3,032307202510230011,1,2.00,0.00,0.00
032,112025,1332868,4,032307202510240005,1,77.00,0.00,0.00
032,112025,1333219,1,032307202510240008,1,23.00,0.00,0.00
032,112025,1333252,2,032307202510240010,1,10.00,0.00,0.00
032,112025,1333644,3,032307202510250002,1,15.00,0.00,0.00
032,112025,1333863,3,032307202510260003,1,10.00,0.00,0.00
032,112025,1333899,1,032307202510260005,1,18.00,0.00,0.00
032,112025,1333904,5,032307202510260004,1,15.00,0.00,0.00
032,112025,1333919,3,032307202510260006,1,10.00,0.00,0.00
032,112025,1333959,2,032307202510260011,1,5.00,0.00,0.00
032,112025,1334169,1,032307202510270002,1,879.00,0.00,0.00
032,112025,1334169,1,032307202510270002,3,545.00,0.00,0.00
032,112025,1334210,4,032307202510270007,1,180.00,0.00,0.00
032,112025,1334240,3,032307202510270006,1,51.00,0.00,0.00
032,112025,1334251,4,032307202510270001,1,5.00,0.00,0.00
032,112025,1334291,5,032307202510270010,1,34.00,0.00,0.00
032,112025,1334294,2,032307202510270014,1,5.00,0.00,0.00
032,112025,1334319,4,032307202510270004,1,100.00,0.00,0.00
032,112025,1334357,1,032307202510270012,1,1176.00,0.00,0.00
032,112025,1334544,4,032307202510280008,2,18.00,0.00,0.00
032,112025,1334544,4,032307202510280009,1,235.00,0.00,0.00
032,112025,1334580,1,032307202510280002,1,10.00,0.00,0.00
032,112025,1334587,3,032307202510280003,1,165.00,0.00,0.00
032,112025,1334662,4,032307202510280001,1,3984.00,0.00,0.00
032,112025,1334782,5,032307202510280010,1,3.00,0.00,0.00
032,112025,1334925,4,032307202510280011,1,5.00,0.00,0.00
032,112025,1334930,1,032307202510280013,1,3.00,0.00,0.00
032,112025,1334956,1,032307202510280018,1,10.00,0.00,0.00
032,112025,1334979,6,032307202510290001,1,3813.00,0.00,0.00
032,112025,1335117,1,032307202510290002,1,45.00,0.00,0.00
032,112025,1335285,1,032307202510290003,1,45.00,0.00,0.00
032,112025,1335395,5,032307202510290010,1,10.00,0.00,0.00
032,112025,1335739,2,032307202510300001,1,319.00,0.00,0.00
032,112025,1335837,1,032307202510300004,1,580.00,0.00,0.00
032,112025,1335865,3,032307202510300003,1,640.00,0.00,0.00
032,112025,1335877,4,032307202510300002,1,45.00,0.00,0.00
032,112025,1336069,1,032307202510300010,1,10.00,0.00,0.00
032,112025,1336116,4,032307202510300011,1,5.00,0.00,0.00
032,112025,1336124,1,032307202510300013,1,146.00,0.00,0.00
032,112025,1336166,4,032307202510300016,1,25.00,0.00,0.00
032,112025,1336512,5,032307202510310007,1,3.00,0.00,0.00
032,112025,1343054,4,032307202510190011,1,1954.00,0.00,0.00
032,112025,1343054,4,032307202510190012,1,1954.00,0.00,0.00
